timestamp,cpu,gpu
20:57:50,61.4,29
20:57:52,58.9,26
20:57:54,52.1,27
20:57:56,52.1,22
20:57:58,72.1,41
20:58:00,69.4,30
20:58:02,61.2,27
20:58:04,55.8,25
20:58:06,59.8,27
20:58:08,65.6,27
20:58:10,64.1,24
20:58:12,55.2,28
20:58:14,59.6,27
20:58:16,57.7,27
20:58:18,53.2,31
20:58:20,48.3,27
20:58:22,56.8,29
20:58:24,59.2,28
20:58:26,53.8,26
20:58:28,59.6,28
20:58:30,65.4,27
20:58:32,75.7,28
20:58:34,64.7,26
20:58:36,58.0,29
20:58:38,63.7,29
20:58:40,55.3,27
20:58:42,60.6,25
20:58:44,60.3,24
20:58:46,74.2,30
20:58:48,53.7,32
20:58:50,49.7,29
20:58:52,60.2,34
20:58:54,62.5,33
20:58:56,52.9,31
20:58:58,47.8,30
20:59:00,46.7,29
20:59:02,58.7,32
20:59:04,51.0,30
20:59:06,44.6,31
20:59:08,67.1,34
20:59:10,70.9,32
20:59:12,69.3,33
20:59:14,63.3,33
20:59:16,53.2,27
20:59:18,60.0,23
20:59:20,60.5,25
20:59:22,57.0,23
20:59:24,49.9,26
20:59:26,65.4,41
20:59:28,60.9,42
20:59:30,55.3,36
20:59:32,69.9,43
20:59:34,80.0,38
20:59:36,85.4,44
20:59:38,82.8,47
20:59:40,58.2,47
20:59:42,68.7,43
20:59:44,60.5,43
20:59:46,53.8,33
20:59:48,73.2,30
20:59:50,62.4,33
20:59:52,70.6,39
20:59:54,66.7,44
20:59:56,70.7,37
20:59:58,66.7,44
21:00:00,55.9,37
21:00:02,73.0,36
21:00:04,69.5,32
21:00:06,60.4,35
21:00:08,51.6,34
21:00:10,47.6,33
21:00:12,68.4,29
21:00:14,79.2,30
21:00:16,71.4,32
21:00:18,67.4,34
21:00:20,67.9,32
21:00:22,49.9,31
21:00:24,66.7,29
21:00:26,56.2,34
21:00:28,65.3,36
21:00:30,68.6,41
21:00:32,59.1,48
21:00:34,65.8,49
21:00:36,65.9,48
21:00:38,75.0,49
21:00:40,82.7,40
21:00:42,84.9,47
21:00:44,90.9,48
21:00:46,68.8,45
21:00:48,50.8,45
21:00:50,77.3,47
21:00:52,72.5,47
21:00:54,88.3,50
21:00:56,78.3,45
21:00:58,74.9,36
21:01:00,64.1,28
21:01:02,73.1,33
21:01:04,79.1,37
21:01:06,54.4,38
21:01:08,72.9,38
21:01:10,74.7,39
21:01:12,79.1,35
21:01:14,70.6,39
21:01:16,77.7,33
21:01:18,51.9,35
21:01:20,65.2,45
21:01:22,64.8,45
21:01:24,65.1,46
21:01:26,75.7,43
21:01:28,60.6,39
21:01:30,62.1,39
21:01:32,61.4,40
21:01:34,80.5,40
21:01:36,58.5,41
21:01:38,66.7,40
21:01:40,72.9,40
21:01:42,64.3,40
21:01:44,72.4,39
21:01:46,81.0,38
21:01:48,62.0,39
21:01:50,60.1,34
21:01:52,67.6,34
21:01:54,68.1,33
21:01:56,68.3,32
21:01:58,68.5,32
21:02:00,54.2,34
21:02:02,83.1,35
21:02:04,81.6,42
21:02:06,86.3,38
21:02:08,74.7,38
21:02:10,54.9,35
21:02:12,78.8,42
21:02:14,68.5,34
21:02:16,81.8,49
21:02:18,72.9,51
21:02:20,64.9,46
21:02:22,83.5,45
21:02:24,57.1,39
21:02:26,57.9,41
21:02:28,66.4,39
21:02:30,58.0,36
21:02:32,59.3,33
21:02:34,53.2,34
21:02:36,53.2,37
21:02:38,47.6,37
21:02:40,44.2,43
21:02:42,49.0,34
21:02:44,70.0,35
21:02:46,64.0,34
21:02:48,66.4,30
21:02:50,75.9,28
21:02:52,55.3,26
21:02:54,69.1,30
21:02:56,54.1,29
21:02:58,50.7,27
21:03:00,67.1,27
21:03:02,64.2,30
21:03:04,49.9,29
21:03:07,44.5,26
21:03:09,55.0,24
21:03:11,63.4,29
21:03:13,72.6,27
21:03:15,85.1,26
21:03:17,65.6,26
21:03:19,54.1,24
21:03:21,55.7,26
21:03:23,70.7,29
21:03:25,74.9,26
21:03:27,63.5,28
21:03:29,69.5,29
21:03:31,80.9,34
21:03:33,67.9,37
21:03:35,77.5,39
21:03:37,79.9,38
21:03:39,72.7,36
21:03:41,77.1,33
21:03:43,71.4,33
21:03:45,79.5,33
21:03:47,87.6,30
21:03:49,76.5,28
21:03:51,75.2,30
21:03:53,79.6,31
21:03:55,87.4,27
21:03:57,92.9,27
21:03:59,62.3,27
21:04:01,55.9,19
21:04:03,66.7,33
21:04:05,84.1,22
21:04:07,76.6,26
21:04:09,62.5,19
21:04:11,61.6,28
21:04:13,62.0,29
21:04:15,83.4,32
21:04:17,73.7,25
21:04:19,92.3,39
21:04:21,66.2,29
21:04:23,100.0,9
21:04:25,99.8,15
21:04:27,97.2,14
21:04:29,69.9,21
21:04:31,75.3,16
21:04:33,79.7,18
21:04:35,69.7,18
